Tên,Giá,Bảo hành,Phiên bản,Công nghệ CPU,Số lõi,Số luồng,Dung lượng RAM,Loại RAM,Số RAM onboard,Hỗ trợ RAM tối đa,Kích thước màn hình,Loại màn hình,Độ phân giải,Tấm nền,Công nghệ màn hình,Độ phủ màu,Tỷ lệ màn hình,Hãng,Model,Dung lượng SSD,Giao tiếp & Kết nối,Số loa,Công nghệ âm thanh,Mở khóa vân tay,Mật khẩu,Kiểu bàn phím,Loại đèn bàn phím,Công nghệ đèn bàn phím,Màu đèn LED,TouchPad,Loại PIN,Dung lượng PIN,Hệ điều hành,Phần mềm khác,Width x Depth x Height (mm),Trọng lượng (kg):,Chất liệu mặt bên ngoài cùng:,Chất liệu khung màn hình:,Chất liệu mặt bàn phím + kê tay:,Chất liệu mặt lưng:
Macbook Air 2020 M1 8GPU 8GB 512GB MGNA3SA/A - Silver,"32,490,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
Macbook Air 2020 M1 8GPU 8GB 512GB MGNE3SA/A - Gold,"32,490,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
MacBook Pro 13 2020 M1 16GB 512GB Z11F000CF - Silver,"42,990,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
MacBook Pro 13 2020 M1 16GB 512GB Z11C000CH - Grey,"42,990,000₫",,Apple,M1,8,8,16 GB,LPDDR4,1,16 GB,"13.3""",LED,2560 x 1600 Pixel,IPS,"IPS LCD LED Backlit, True Tone",99% sRGB,"0,673611111111111",Apple,GPU 8 nhân,512 GB,"2 Type-C
2 USB 3.0
0USB 2.0
0 HDMI0 VGA
0 Card reader
0 DC-in jack
1 Jack 3.5 mm
2 Thunderbolt
0 LAN
Wireless: 802.11 ax Wi-Fi 6
Bluetooth: v5.0
Khe đọc thẻ nhớ: Không
Senser: 2
Webcame: 720p FaceTime HD camera",2,Stereo speakers with high dynamic range,Có,Có,English-International Backlit Keyboard,LED,Đơn sắc,White,Hỗ trợ đa cử chỉ,Lithium-Polymer,58.2 watt hour,Mac OS,Các ứng dụng mặc định có sẵn của Mac OS,304.1 x 212.4 x 15.6,1.4kg,Nhôm,Nhựa,Nhôm,Nhôm
MacBook Pro 13 2020 M1 16GB 256GB Z11D000E5 - Silver,"37,990,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacBook Pro 13 2020 M1 16GB 256GB Z11B000CT - Grey,"37,990,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
Macbook Pro 13 2020 M1 8GB 512GB MYDC2SA/A - Silver,"37,490,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
Macbook Pro 13 2020 M1 8GB 512GB MYD92SA/A - Grey,"37,490,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
Macbook Pro 13 2020 M1 8GB 256GB MYD82SA/A - Grey,"32,990,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
Macbook Pro 13 2020 M1 8GB 256GB MYDA2SA/A - Silver,"32,990,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mac OS,,,,,,,
MacBook Pro 16 2021 M1 Max 32GB 1TB Silver,Liên hệ,12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacBook Pro 16 2021 M1 Max 32GB 1TB Space Gray,Liên hệ,12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacBook Pro 16 2021 M1 Pro 16GB 512GB Silver,Liên hệ,12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacBook Pro 16 2021 M1 Pro 16GB 512GB Space Gray,Liên hệ,12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MacBook Pro 14"" 2021 M1 Pro 16GB 512GB Space Gray",Liên hệ,12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MacBook Pro 14"" 2021 M1 Pro 16GB 512GB Silver",Liên hệ,12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop gaming Acer Aspire 7 A715 42G R4ST,"18,490,000₫",12 tháng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
