Bảo hành cũ,Giá máy cũ,Tên,Giá máy mới,Bảo hành mới,Tiết kiệm,Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,Tốc độ tối đa,Bộ nhớ đệm,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Màn hình,Độ phân giải,Tần số quét,Công nghệ màn hình,Màn hình cảm ứng,Card màn hình,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Khe đọc thẻ nhớ,Webcam,Tính năng khác,Đèn bàn phím,"Kích thước, trọng lượng",Chất liệu,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt
Bảo hành: 7 tháng chính hãng,24.790.000₫,Apple MacBook Air M1 2020 8GB/256GB/7-core GPU,Giá máy mới: 28.990.000₫,chính hãng laptop 1 năm,5.250.000₫ (18%),Apple M1,,,,,,8 GB,,,Không hỗ trợ nâng cấp,256 GB SSD,13.3 inch,Retina (2560 x 1600),,"400 nits
Công nghệ IPS
LED Backlit
True Tone Technology",,Card tích hợp - 7 nhân GPU,"3 microphones
Headphones
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,720p FaceTime Camera,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Bảo hành: 7 tháng chính hãng,24.790.000₫,Apple MacBook Air M1 2020 8GB/256GB/7-core GPU,Giá máy mới: 28.990.000₫,chính hãng laptop 1 năm,5.250.000₫ (18%),Apple M1,,,,,,8 GB,,,Không hỗ trợ nâng cấp,256 GB SSD,13.3 inch,Retina (2560 x 1600),,"400 nits
Công nghệ IPS
LED Backlit
True Tone Technology",,Card tích hợp - 7 nhân GPU,"3 microphones
Headphones
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,720p FaceTime Camera,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Bảo hành: 7.5 tháng chính hãng,24.920.000₫,Apple MacBook Air M1 2020 8GB/256GB/7-core GPU,Giá máy mới: 28.990.000₫,chính hãng laptop 1 năm,5.250.000₫ (18%),Apple M1,,,,,,8 GB,,,Không hỗ trợ nâng cấp,256 GB SSD,13.3 inch,Retina (2560 x 1600),,"400 nits
Công nghệ IPS
LED Backlit
True Tone Technology",,Card tích hợp - 7 nhân GPU,"3 microphones
Headphones
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,720p FaceTime Camera,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Bảo hành: 8 tháng chính hãng,25.050.000₫,Apple MacBook Air M1 2020 8GB/256GB/7-core GPU,Giá máy mới: 28.990.000₫,chính hãng laptop 1 năm,5.250.000₫ (18%),Apple M1,,,,,,8 GB,,,Không hỗ trợ nâng cấp,256 GB SSD,13.3 inch,Retina (2560 x 1600),,"400 nits
Công nghệ IPS
LED Backlit
True Tone Technology",,Card tích hợp - 7 nhân GPU,"3 microphones
Headphones
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,720p FaceTime Camera,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Bảo hành: 8.5 tháng chính hãng,25.180.000₫,Apple MacBook Air M1 2020 8GB/256GB/7-core GPU,Giá máy mới: 28.990.000₫,chính hãng laptop 1 năm,5.250.000₫ (18%),Apple M1,,,,,,8 GB,,,Không hỗ trợ nâng cấp,256 GB SSD,13.3 inch,Retina (2560 x 1600),,"400 nits
Công nghệ IPS
LED Backlit
True Tone Technology",,Card tích hợp - 7 nhân GPU,"3 microphones
Headphones
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,720p FaceTime Camera,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Bảo hành: 9 tháng chính hãng,25.310.000₫,Apple MacBook Air M1 2020 8GB/256GB/7-core GPU,Giá máy mới: 28.990.000₫,chính hãng laptop 1 năm,5.250.000₫ (18%),Apple M1,,,,,,8 GB,,,Không hỗ trợ nâng cấp,256 GB SSD,13.3 inch,Retina (2560 x 1600),,"400 nits
Công nghệ IPS
LED Backlit
True Tone Technology",,Card tích hợp - 7 nhân GPU,"3 microphones
Headphones
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,720p FaceTime Camera,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Bảo hành: 9.5 tháng chính hãng,25.440.000₫,Apple MacBook Air M1 2020 8GB/256GB/7-core GPU,Giá máy mới: 28.990.000₫,chính hãng laptop 1 năm,5.250.000₫ (18%),Apple M1,,,,,,8 GB,,,Không hỗ trợ nâng cấp,256 GB SSD,13.3 inch,Retina (2560 x 1600),,"400 nits
Công nghệ IPS
LED Backlit
True Tone Technology",,Card tích hợp - 7 nhân GPU,"3 microphones
Headphones
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,720p FaceTime Camera,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Bảo hành: 10 tháng chính hãng,25.570.000₫,Apple MacBook Air M1 2020 8GB/256GB/7-core GPU,Giá máy mới: 28.990.000₫,chính hãng laptop 1 năm,5.250.000₫ (18%),Apple M1,,,,,,8 GB,,,Không hỗ trợ nâng cấp,256 GB SSD,13.3 inch,Retina (2560 x 1600),,"400 nits
Công nghệ IPS
LED Backlit
True Tone Technology",,Card tích hợp - 7 nhân GPU,"3 microphones
Headphones
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,720p FaceTime Camera,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Bảo hành: 6 tháng tại TGDD,23.680.000₫,HP Envy 13 ba0047TU i7 1065G7/8GB/512GB/Office H&S2019/Win10 (171M8PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,15%,Intel Core i7 Ice Lake - 1065G7,,,1.30 GHz,Turbo Boost 3.9 GHz,,8 GB,DDR4 (On board),3200 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,Full HD (1920 x 1080),,"60Hz
Tấm nền IPS
Wled-backlit",,Card tích hợp - Intel Iris Plus Graphics,Bang & Olufsen audio,Thunderbolt 3 2 x USB 3.1,Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,Micro SD,HD webcam,Bảo mật vân tay,Có,Dài Dài 306.5 mm - Rộng Rộng 194.6 mm - Dày Dày 16.9 mm - Nặng 1.25 kg,Vỏ kim loại nguyên khối,3-cell Li-ion,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2020
Bảo hành: 3 tháng tại TGDD,23.580.000₫,HP Envy 13 aq1057TX i7 10510U/8GB/512GB/2GB MX250/Win10 (8XS68PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,17%,Intel Core i7 Comet Lake - 10510U,,,1.80 GHz,Turbo Boost 4.9 GHz,,8 GB,DDR4 (On board),2400 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,Full HD (1920 x 1080),,"Wled-backlit
60Hz
Tấm nền IPS",,Card rời - NVIDIA GeForce MX250 2 GB,HP Audio Boost 4 loa Bang & Olufsen audio,2 x USB 3.1 USB Type-C,Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,Micro SD,HD webcam,Bảo mật vân tay,Có,Dài 307 mm - Rộng 211.5 mm - Dày 14.7 mm - Nặng 1.17 kg,Vỏ kim loại nguyên khối,"4-cell Li-ion, 53 Wh",Windows 10 Home SL,2019
Bảo hành: 3 tháng tại TGDD,23.580.000₫,HP Envy 13 aq1057TX i7 10510U/8GB/512GB/2GB MX250/Win10 (8XS68PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,17%,Intel Core i7 Comet Lake - 10510U,,,1.80 GHz,Turbo Boost 4.9 GHz,,8 GB,DDR4 (On board),2400 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,Full HD (1920 x 1080),,"Wled-backlit
60Hz
Tấm nền IPS",,Card rời - NVIDIA GeForce MX250 2 GB,HP Audio Boost 4 loa Bang & Olufsen audio,2 x USB 3.1 USB Type-C,Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,Micro SD,HD webcam,Bảo mật vân tay,Có,Dài 307 mm - Rộng 211.5 mm - Dày 14.7 mm - Nặng 1.17 kg,Vỏ kim loại nguyên khối,"4-cell Li-ion, 53 Wh",Windows 10 Home SL,2019
Bảo hành: 3 tháng tại TGDD,23.580.000₫,HP Envy 13 aq1057TX i7 10510U/8GB/512GB/2GB MX250/Win10 (8XS68PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,17%,Intel Core i7 Comet Lake - 10510U,,,1.80 GHz,Turbo Boost 4.9 GHz,,8 GB,DDR4 (On board),2400 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,Full HD (1920 x 1080),,"Wled-backlit
60Hz
Tấm nền IPS",,Card rời - NVIDIA GeForce MX250 2 GB,HP Audio Boost 4 loa Bang & Olufsen audio,2 x USB 3.1 USB Type-C,Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,Micro SD,HD webcam,Bảo mật vân tay,Có,Dài 307 mm - Rộng 211.5 mm - Dày 14.7 mm - Nặng 1.17 kg,Vỏ kim loại nguyên khối,"4-cell Li-ion, 53 Wh",Windows 10 Home SL,2019
Bảo hành: 3 tháng tại TGDD,23.580.000₫,HP Envy 13 aq1057TX i7 10510U/8GB/512GB/2GB MX250/Win10 (8XS68PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,17%,Intel Core i7 Comet Lake - 10510U,,,1.80 GHz,Turbo Boost 4.9 GHz,,8 GB,DDR4 (On board),2400 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,Full HD (1920 x 1080),,"Wled-backlit
60Hz
Tấm nền IPS",,Card rời - NVIDIA GeForce MX250 2 GB,HP Audio Boost 4 loa Bang & Olufsen audio,2 x USB 3.1 USB Type-C,Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,Micro SD,HD webcam,Bảo mật vân tay,Có,Dài 307 mm - Rộng 211.5 mm - Dày 14.7 mm - Nặng 1.17 kg,Vỏ kim loại nguyên khối,"4-cell Li-ion, 53 Wh",Windows 10 Home SL,2019
Bảo hành: 4 tháng chính hãng,23.840.000₫,HP Envy 13 aq1057TX i7 10510U/8GB/512GB/2GB MX250/Win10 (8XS68PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,17%,Intel Core i7 Comet Lake - 10510U,,,1.80 GHz,Turbo Boost 4.9 GHz,,8 GB,DDR4 (On board),2400 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,Full HD (1920 x 1080),,"Wled-backlit
60Hz
Tấm nền IPS",,Card rời - NVIDIA GeForce MX250 2 GB,HP Audio Boost 4 loa Bang & Olufsen audio,2 x USB 3.1 USB Type-C,Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,Micro SD,HD webcam,Bảo mật vân tay,Có,Dài 307 mm - Rộng 211.5 mm - Dày 14.7 mm - Nặng 1.17 kg,Vỏ kim loại nguyên khối,"4-cell Li-ion, 53 Wh",Windows 10 Home SL,2019
Bảo hành: 4 tháng chính hãng,23.840.000₫,HP Envy 13 aq1057TX i7 10510U/8GB/512GB/2GB MX250/Win10 (8XS68PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,17%,Intel Core i7 Comet Lake - 10510U,,,1.80 GHz,Turbo Boost 4.9 GHz,,8 GB,DDR4 (On board),2400 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,Full HD (1920 x 1080),,"Wled-backlit
60Hz
Tấm nền IPS",,Card rời - NVIDIA GeForce MX250 2 GB,HP Audio Boost 4 loa Bang & Olufsen audio,2 x USB 3.1 USB Type-C,Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,Micro SD,HD webcam,Bảo mật vân tay,Có,Dài 307 mm - Rộng 211.5 mm - Dày 14.7 mm - Nặng 1.17 kg,Vỏ kim loại nguyên khối,"4-cell Li-ion, 53 Wh",Windows 10 Home SL,2019
Bảo hành: 4.5 tháng chính hãng,23.970.000₫,HP Envy 13 aq1057TX i7 10510U/8GB/512GB/2GB MX250/Win10 (8XS68PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,17%,Intel Core i7 Comet Lake - 10510U,,,1.80 GHz,Turbo Boost 4.9 GHz,,8 GB,DDR4 (On board),2400 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,Full HD (1920 x 1080),,"Wled-backlit
60Hz
Tấm nền IPS",,Card rời - NVIDIA GeForce MX250 2 GB,HP Audio Boost 4 loa Bang & Olufsen audio,2 x USB 3.1 USB Type-C,Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,Micro SD,HD webcam,Bảo mật vân tay,Có,Dài 307 mm - Rộng 211.5 mm - Dày 14.7 mm - Nặng 1.17 kg,Vỏ kim loại nguyên khối,"4-cell Li-ion, 53 Wh",Windows 10 Home SL,2019
Bảo hành: 5 tháng chính hãng,24.100.000₫,HP Envy 13 aq1057TX i7 10510U/8GB/512GB/2GB MX250/Win10 (8XS68PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,17%,Intel Core i7 Comet Lake - 10510U,,,1.80 GHz,Turbo Boost 4.9 GHz,,8 GB,DDR4 (On board),2400 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,Full HD (1920 x 1080),,"Wled-backlit
60Hz
Tấm nền IPS",,Card rời - NVIDIA GeForce MX250 2 GB,HP Audio Boost 4 loa Bang & Olufsen audio,2 x USB 3.1 USB Type-C,Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,Micro SD,HD webcam,Bảo mật vân tay,Có,Dài 307 mm - Rộng 211.5 mm - Dày 14.7 mm - Nặng 1.17 kg,Vỏ kim loại nguyên khối,"4-cell Li-ion, 53 Wh",Windows 10 Home SL,2019
Bảo hành: 6 tháng chính hãng,24.360.000₫,HP Envy 13 aq1057TX i7 10510U/8GB/512GB/2GB MX250/Win10 (8XS68PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,17%,Intel Core i7 Comet Lake - 10510U,,,1.80 GHz,Turbo Boost 4.9 GHz,,8 GB,DDR4 (On board),2400 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,Full HD (1920 x 1080),,"Wled-backlit
60Hz
Tấm nền IPS",,Card rời - NVIDIA GeForce MX250 2 GB,HP Audio Boost 4 loa Bang & Olufsen audio,2 x USB 3.1 USB Type-C,Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,Micro SD,HD webcam,Bảo mật vân tay,Có,Dài 307 mm - Rộng 211.5 mm - Dày 14.7 mm - Nặng 1.17 kg,Vỏ kim loại nguyên khối,"4-cell Li-ion, 53 Wh",Windows 10 Home SL,2019
Bảo hành: 7.5 tháng chính hãng,24.750.000₫,HP Envy 13 aq1057TX i7 10510U/8GB/512GB/2GB MX250/Win10 (8XS68PA),Máy mới đã ngừng kinh doanh,Thời gian bảo hành: 1 năm,17%,Intel Core i7 Comet Lake - 10510U,,,1.80 GHz,Turbo Boost 4.9 GHz,,8 GB,DDR4 (On board),2400 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,Full HD (1920 x 1080),,"Wled-backlit
60Hz
Tấm nền IPS",,Card rời - NVIDIA GeForce MX250 2 GB,HP Audio Boost 4 loa Bang & Olufsen audio,2 x USB 3.1 USB Type-C,Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,Micro SD,HD webcam,Bảo mật vân tay,Có,Dài 307 mm - Rộng 211.5 mm - Dày 14.7 mm - Nặng 1.17 kg,Vỏ kim loại nguyên khối,"4-cell Li-ion, 53 Wh",Windows 10 Home SL,2019
Bảo hành: 8 tháng chính hãng,23.180.000₫,Dell Gaming G3 15 i7 10750H/16GB/256GB + 1TB/4GB GTX1650Ti/Win10 (P89F002G3500C),Giá máy mới: 27.990.000₫,Thời gian bảo hành: 1 năm,27.990.000₫,Intel Core i7 Comet Lake - 10750H,6,12,2.60 GHz,Turbo Boost 5.0 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),2933 MHz,16 GB,"SSD 256 GB NVMe PCIe
HDD 1 TB
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng",15.6 inch,Full HD (1920 x 1080),120 Hz,LED WVA,,Card rời - NVIDIA GeForce GTX 1650Ti 4 GB,Nahimic 3,"Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
LAN (RJ45)
2 x USB 2.0
USB Type-C",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,Bảo mật vân tay,Có,Dài 364.46 mm - Rộng 254 mm - Dày 30.96 mm - Nặng 2.56 kg,Vỏ nhựa,"3-cell Li-ion, 51 Wh",Windows 10 Home SL,2020
Bảo hành: 8.5 tháng chính hãng,23.430.000₫,Dell Gaming G3 15 i7 10750H/16GB/256GB + 1TB/4GB GTX1650Ti/Win10 (P89F002G3500C),Giá máy mới: 27.990.000₫,Thời gian bảo hành: 1 năm,27.990.000₫,Intel Core i7 Comet Lake - 10750H,6,12,2.60 GHz,Turbo Boost 5.0 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),2933 MHz,16 GB,"SSD 256 GB NVMe PCIe
HDD 1 TB
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng",15.6 inch,Full HD (1920 x 1080),120 Hz,LED WVA,,Card rời - NVIDIA GeForce GTX 1650Ti 4 GB,Nahimic 3,"Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
LAN (RJ45)
2 x USB 2.0
USB Type-C",Bluetooth 5.0 Wi-Fi 802.11 a/b/g/n/ac,SD,HD webcam,Bảo mật vân tay,Có,Dài 364.46 mm - Rộng 254 mm - Dày 30.96 mm - Nặng 2.56 kg,Vỏ nhựa,"3-cell Li-ion, 51 Wh",Windows 10 Home SL,2020
Bảo hành: 15.5 tháng chính hãng,23.160.000₫,Lenovo YOGA Slim 7 Carbon 13ITL5 i5 1135G7/16GB/512GB/Win10 (82EV0016VN),Giá máy mới: 28.990.000₫,chính hãng laptop 2 năm,5.830.000₫ (20%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,16 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,QHD (2560 x 1600),,"300 nits Glossy
Chống chói Anti Glare
Dolby Vision
Tấm nền IPS",,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon Dolby Atmos,"2 x Thunderbolt 4 USB-C
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),,Camera IR HD webcam,"Bản lề mở 180 độ
Mở khóa khuôn mặt
Tiêu chuẩn Nền Intel Evo
Độ bền chuẩn quân đội MLT STD 810G",Có,Dài 295.88 mm - Rộng 208.85 mm - Dày 15 mm - Nặng 0.966 kg,Mặt lưng Carbon - Chiếu nghỉ tay bằng Nhôm Magie,"Li-Polymer, 50 Wh",Windows 10 Home SL,2020
Bảo hành: 18 tháng chính hãng,23.790.000₫,Lenovo YOGA Slim 7 Carbon 13ITL5 i5 1135G7/16GB/512GB/Win10 (82EV0016VN),Giá máy mới: 28.990.000₫,chính hãng laptop 2 năm,5.830.000₫ (20%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,16 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,QHD (2560 x 1600),,"300 nits Glossy
Chống chói Anti Glare
Dolby Vision
Tấm nền IPS",,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon Dolby Atmos,"2 x Thunderbolt 4 USB-C
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),,Camera IR HD webcam,"Bản lề mở 180 độ
Mở khóa khuôn mặt
Tiêu chuẩn Nền Intel Evo
Độ bền chuẩn quân đội MLT STD 810G",Có,Dài 295.88 mm - Rộng 208.85 mm - Dày 15 mm - Nặng 0.966 kg,Mặt lưng Carbon - Chiếu nghỉ tay bằng Nhôm Magie,"Li-Polymer, 50 Wh",Windows 10 Home SL,2020
Bảo hành: 18 tháng chính hãng,23.790.000₫,Lenovo YOGA Slim 7 Carbon 13ITL5 i5 1135G7/16GB/512GB/Win10 (82EV0016VN),Giá máy mới: 28.990.000₫,chính hãng laptop 2 năm,5.830.000₫ (20%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,16 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,QHD (2560 x 1600),,"300 nits Glossy
Chống chói Anti Glare
Dolby Vision
Tấm nền IPS",,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon Dolby Atmos,"2 x Thunderbolt 4 USB-C
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),,Camera IR HD webcam,"Bản lề mở 180 độ
Mở khóa khuôn mặt
Tiêu chuẩn Nền Intel Evo
Độ bền chuẩn quân đội MLT STD 810G",Có,Dài 295.88 mm - Rộng 208.85 mm - Dày 15 mm - Nặng 0.966 kg,Mặt lưng Carbon - Chiếu nghỉ tay bằng Nhôm Magie,"Li-Polymer, 50 Wh",Windows 10 Home SL,2020
Bảo hành: 18 tháng chính hãng,23.790.000₫,Lenovo YOGA Slim 7 Carbon 13ITL5 i5 1135G7/16GB/512GB/Win10 (82EV0016VN),Giá máy mới: 28.990.000₫,chính hãng laptop 2 năm,5.830.000₫ (20%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,16 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,QHD (2560 x 1600),,"300 nits Glossy
Chống chói Anti Glare
Dolby Vision
Tấm nền IPS",,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon Dolby Atmos,"2 x Thunderbolt 4 USB-C
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),,Camera IR HD webcam,"Bản lề mở 180 độ
Mở khóa khuôn mặt
Tiêu chuẩn Nền Intel Evo
Độ bền chuẩn quân đội MLT STD 810G",Có,Dài 295.88 mm - Rộng 208.85 mm - Dày 15 mm - Nặng 0.966 kg,Mặt lưng Carbon - Chiếu nghỉ tay bằng Nhôm Magie,"Li-Polymer, 50 Wh",Windows 10 Home SL,2020
Bảo hành: 18.5 tháng chính hãng,23.920.000₫,Lenovo YOGA Slim 7 Carbon 13ITL5 i5 1135G7/16GB/512GB/Win10 (82EV0016VN),Giá máy mới: 28.990.000₫,chính hãng laptop 2 năm,5.830.000₫ (20%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,16 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,QHD (2560 x 1600),,"300 nits Glossy
Chống chói Anti Glare
Dolby Vision
Tấm nền IPS",,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon Dolby Atmos,"2 x Thunderbolt 4 USB-C
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),,Camera IR HD webcam,"Bản lề mở 180 độ
Mở khóa khuôn mặt
Tiêu chuẩn Nền Intel Evo
Độ bền chuẩn quân đội MLT STD 810G",Có,Dài 295.88 mm - Rộng 208.85 mm - Dày 15 mm - Nặng 0.966 kg,Mặt lưng Carbon - Chiếu nghỉ tay bằng Nhôm Magie,"Li-Polymer, 50 Wh",Windows 10 Home SL,2020
Bảo hành: 19 tháng chính hãng,24.040.000₫,Lenovo YOGA Slim 7 Carbon 13ITL5 i5 1135G7/16GB/512GB/Win10 (82EV0016VN),Giá máy mới: 28.990.000₫,chính hãng laptop 2 năm,5.830.000₫ (20%),Intel Core i5 Tiger Lake - 1135G7,4,8,2.40 GHz,Turbo Boost 4.2 GHz,8 MB,16 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,SSD 512 GB NVMe PCIe,13.3 inch,QHD (2560 x 1600),,"300 nits Glossy
Chống chói Anti Glare
Dolby Vision
Tấm nền IPS",,Card tích hợp - Intel Iris Xe Graphics,Audio by Harman/Kardon Dolby Atmos,"2 x Thunderbolt 4 USB-C
Jack tai nghe 3.5 mm
USB Type-C",Bluetooth 5.0 Wi-Fi 6 (802.11ax),,Camera IR HD webcam,"Bản lề mở 180 độ
Mở khóa khuôn mặt
Tiêu chuẩn Nền Intel Evo
Độ bền chuẩn quân đội MLT STD 810G",Có,Dài 295.88 mm - Rộng 208.85 mm - Dày 15 mm - Nặng 0.966 kg,Mặt lưng Carbon - Chiếu nghỉ tay bằng Nhôm Magie,"Li-Polymer, 50 Wh",Windows 10 Home SL,2020
