Tên sản phẩm,Thương hiệu,Nhà bán,Giá hiện tại,Công nghệ âm thanh,Thời gian pin,Bluetooth,Camera,Card đồ họa,Card Reader,Chip set,Kết nối,CPU,Kích thước,Loại/ Công nghệ màn hình,Dung lượng ổ cứng,Giao tiếp mạng,Model,Loại ổ đĩa,Loại pin,Nơi sản xuất,Ổ đĩa quang,Trọng lượng,RAM,Độ phân giải,Kích thước màn hình,Hệ điều hành,Thiết kế card,Wifi,Xuất xứ thương hiệu,Tốc độ CPU,Xuất xứ,Cổng internet (LAN),Loại RAM,Kết nối không dây khác,Cân nặng,Bus,Bộ nhớ đồ họa,Nhà sản xuất,Thời gian sạc,Hiển thị màu sắc
Microsoft Surface Laptop Core i5 / Win10 S 13.5 inch 8GB RAM (Đỏ) - Hàng Nhập Khẩu,Microsoft,NewTechShop,27700000,Omnisonic speakers with Dolby® Audio™ Premium,14.5 giờ,Bluetooth 4.0 LE wireless technology,720p HD camera (front-facing),Intel HD Graphics 620 ,,,"USB 3.0, microSD, headphone/mic jack 3.5mm, Mini DisplayPort, Cover port, Surface Connect",Intel Core i5,(Dài x Rộng x Dày) 308.1 x 223.27 x 14.48 mm,IPS LCD,256GB,,,SSD,Đang cập nhật,Mỹ,Không,1.25g,8GB,2256 x 1504 pixels,13.5 inch,Window 10 S (Có thể nâng cấp Windows 10 Pro),,802.11ac Wi-Fi wireless networking; IEEE 802.11a/b/g/n compatible,,,,,,,,,,,,
"Bộ dán JCPAL 5 in 1 cho New Macbook Pro 13"" năm (2020-2021), Macbook Pro M1 ( model A2251 ,A2289 , A2338))",OEM,MBphukien,550000,,,,,,,,,,,,,,,,,,,,,,,,,,Việt Nam,,Việt Nam,,,,,,,,,
Laptop LG Gram 2021 14ZD90P-G.AX56A5 (Core i5-1135G7/ 16GB LPDDR4X/ 512GB SSD NVMe/ 14 WUXGA IPS/ NonOS) - Hàng Chính Hãng,LG,,37900000,HD Audio with DTS X Ultra,,,v5.1,Intel Iris Xe Graphics,,,"HP-Out(4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)","Intel 11th Generation i5 (Quad Core) i5-1135G7 (2.4 GHz, Turbo up to 4.2 GHz, L3 Cache 8MB, 28 W)",313.4 x 215.2 x 16.8 mm,IPS,512GB SSD,,14ZD90P-G.AX56A5,,72 Wh Li-Ion,,,999g,16GB LPDDR4X (Dual Channel),,14 inch,,,"Intel Wireless-AX201 (802.11ax, 2x2, Dual Band)",Hàn Quốc,,Trung Quốc,,,,,,,,,
Laptop Acer Nitro 5 Gaming AN515 57 74NU i7 11800H/8GB/512GB/4GB RTX3050Ti/144Hz/Balo/Win10 (NH.QD9SV.001.) - Hàng chính hãng,Acer,Thế Giới Di Động Official,28990000,"Acer TrueHarmony, DTS X:Ultra Audio",,Bluetooth 5.1, HD webcam, Card rời - NVIDIA GeForce RTX3050Ti,,,Jack tai nghe 3.5 mm  3 x USB 3.2  HDMI  LAN (RJ45)  USB Type-C, Intel Core i7 Tiger Lake - 11800H,,Tấm nền IPS  LED Backlit  Acer ComfyView,"SSD 512 GB NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)  Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)  Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)",,AN515 57 74NU,,"4-cell Li-ion, 57 Wh",,,2.2 Kg, 8 GB,,,Windows 10 Home SL,, Wi-Fi 6 (802.11ax),Đài Loan, 2.30 GHz Tốc độ tối đa  Turbo Boost 4.6 GHz,Trung Quốc,LAN (RJ45), DDR4 2 khe (1 khe 8GB + 1 khe rời), Wi-Fi 6 (802.11ax)Bluetooth 5.1,,,4 GB,,,
EDXIS CHROMEBOOK11 (S20-C) - Hàng nhập khẩu,Intel,GIMASYS,14087040,,,,,,,,,,,,,,,,,,,,,,,,,,Singapore,,china,,,,,,,,,
Microsoft Surface Pro X (13/ SQ1TM/ 8GB/ 128GB SSD/ WiFi + 4G LTE/ Black) - Hàng Nhập Khẩu,Microsoft,Detico,23500000,,~13 giờ,Bluetooth 5.0," Camera trước 5.0 MP 1080p HD, hỗ trợ tính năng nhận diện khuôn mặt Windows Hello Camera sau 10.0 MP, tự động lấy nét ",Microsoft SQ1 Adreno 685,,,"2 USB C,1 khe nano SIM, 1 cổng sạc Surface Connect, 1 cổng gắn bàn phím Cover",Microsoft SQ1,287 mm x 208 mm x 7.3 mm,,128GB,,,SSD,,,,774g,8GB,,,,,Wifi 5,Mỹ,,Trung Quốc,,LPDDR4x RAM,Qualcomm Snapdragon X24 LTE Modem,,3733Mbps,,,,
Laptop Acer Gaming Nitro 5 AN515-45-R0B6 (NH.QBCSV.001) (Ryzen 7 5800H /8GB Ram/512GB SSD/RTX3060 6G/15.6 inch FHD 144Hz/Win 10/Đen) (2021)(Hàng Chính Hãng),Acer,Hanoi computer,32099000,,,,,,,,,,,,,,,,,,,,,,,,,,Trung Quốc,,Trung Quốc,,,,,,,,,
Laptop HP ProBook 450 G8 2Z6L0PA i5-1135G7 | RAM 8GB | 256GB SSD | NVIDIA Geforce MX450 2GB | 15.6 inch FHD | FreeDOS - Hàng Chính Hãng,HP,HP 1Digital Store,21390000,,,,,,,,,,,,,,,,,,,1.74kg,,,,FreeDOS,,,Việt Nam,,Việt Nam,,,,,,,,,
Microsoft Surface Pro 2018 - Core i5-8250U/8G/256GB - Hàng Chính Hãng,Microsoft,,27445000,Loa Stereo (Dolby Audio Premium),13.5 giờ sử dụng,4.1,"Camera sau: 8.0MP autofocus, quay video 1080p HD, Camera trước: 5.0 MP camera trước, Quay video 1080p HD, Công nghệ Windows Hello nhận diện khuôn mặt",Intel UHD Graphics 620,MicroSDXC,8250U,"USB 3.0, 3.5 mm headphone jack, Mini DisplayPort, Surface Connect port, Surface Type Cover port, tương thích với Surface Dial",Intel Core 8th Gen i5,29.21 x 20.142 x 0.85 mm,"267 ppi Touch, IPS",256GB,"Chuẩn WIFI: 802.11 ac
Kết nối không dây: Bluetooth 4.1",,SSD,Lithium-Polymer,,,775g,8GB,QHD+ (2736 x 1824),12.3 inch,Windows 10 Home,Tích hợp, IEEE 802.11 a/b/g/n/ac compatible,,,,,,,,,,,,
Laptop ASUS ZenBook UX425EA-KI429T (Core i5-1135G7/ 8GB LPDDR4X 3200MHz/ 512GB SSD M.2 PCIE G3X2/ 14 FHD IPS/ Win10) - Hàng Chính Hãng,Asus,Tiki Trading,23449000,Harman Kardon,,v5.0,3D IR HD camera with Windows Hello support,Intel Iris Xe Graphics,MicroSD Card Reader,,2x Thunderbolt 4 USB-C (up to 40Gbps); 1x USB 3.2 Gen 1 Type-A (up to 5Gbps); 1x Standard HDMI 2.0a,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,31.9 x 20.8 x 1.39 (cm),"14"" FHD (1920 x 1080) IPS, Anti-Glare, 100% sRGB, 400nits",512GB SSD M.2 PCIE G3X2,,,,4 Cell 67WHr Lithium-Polymer,,,1.17kg,8GB LPDDR4X 3200MHz (Onboard),Full HD (1920 x 1080),14 inch,Windows 10 Home,,Intel WiFi 6 with Gig+ performance (802.11ax),Đài Loan,,Trung Quốc,,,,,,,,,
Surface Pro 7 Core I5 Ram 8Gb Ssd 256Gb Brand New - Nhập Khẩu,Surface,SURFACEVIET,25490000,,~ 10.5 giờ (theo công bố của Microsoft),,,,,,,,,,,,,,,,,,8GB,,,,,,Mỹ,,Mỹ,,,,,,,,,
Màn Hình Android Oled C2 (New) Theo Xe HUYNDAI I10 2014-2020,OEM,,5500000,,,,,,,,,,,,,,,,,,,,,,,,,,Việt Nam,,Việt Nam,,,,,,,,,
Microsoft Surface Laptop 2 - Core i5-8250U/RAM 8GB/ SSD 256GB - Hàng Chính Hãng,Microsoft,,31900000,Stereo microphones Omnisonic Speakers with Dolby Audio Premium,,,,,,,,,,,256GB,,Microsoft Surface Laptop 2,,,,,,,,,,,,,,,,,,,,,,,
Vivobook ASUS  R564JA-UH31T Core i3-1005G1 / RAM 4GB / SSD 128GB / 15.6 Full HD Touchscreen / Win 10- Hàng nhập khẩu,Asus,Hà Nội Lab,13850000,,,,,,,,,,,,,,,,,,,,,,,,,,Đài Loan,,Mỹ,,,,,,,,,
"Máy tính xách tay Lenovo ThinkPad X280,i5  Hàng chính hãng",Lenovo,CICI LAPTOP,20500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Túi chống sốc  (USA) 360° Protective Macbook - Surface 13.3inch Dazzling Blue - A13,OEM,,780000,,,,,,,,,,,,,,,,,,,,,,,,,,Việt Nam,,Việt Nam,,,,,,,,,
Pin Máy Tính dành cho Dell Precision 3510 (Type G9G1H 4F5YV 84WH) - Pin Dell Latitude 5570,OEM,Tào Máy Tính,1517500,,,,,,,,,,,,,,,,,,,,,,,,,,Việt Nam,,Việt Nam,,,,,,,,,
Laptop Gigabyte AERO 15 OLED XD-73S1624GH (Core i7-11800H/ 16GB (8x2) DDR4 3200MHz/ 1TB SSD M.2 PCIE G3X4/ RTX 3070 8GB GDDR6/ 15.6 UHD Samsung AMOLED/ Win10) - Hàng Chính Hãng,Gigabyte,,59990000,"	DTS:X Ultra",,V5.2,HD Camera,"	NVIDIA GeForce RTX 3070 8GB GDDR6 Boost Clock 1290 MHz, Maximum Graphics Power 105 W",,,"1x Thunderbolt 4 (Type-C) (Optional), 3x USB 3.2 Gen1 (Type-A), 1x HDMI 2.1, 1x mini DP 1.4, 1x 3.5mm Headphone/Microphone Combo Jack, 1x DC-in Jack, 1x RJ-45","	Intel Core i7-11800H 2.3GHz up to 4.6GHz 24MB",356 x 250 x 19.9 (mm),"Samsung AMOLED Display (VESA DisplayHDR 400 True Black, 100% DCI-P3)",1TB SSD M.2 PCIE G3X4 (2 Slots),,XD-73S1624GH,,"	4 Cell 99 WHrs",,,"	2.0 kg","	16GB (8x2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",,15.6 inch,Windows 10 Home,,"Intel AX201 Wireless (802.11ax, a/b/g/n/ac/ax compatible)",Đài Loan,,Trung Quốc,RTL8125-BG REALTEK (2.5G) Ethernet,,,,,8GB,,,
Laptop Lenovo Yoga Slim 7i Pro 14IHU5O 82NH0011VN (Core i7-11370HG/ 16GB LPDDR4x 4266MHz Onboard/ 1TB M.2 2280 PCIe 3.0x4 NVMe/ MX450 2GB GDDR6/ 14 2.8K IPS 400nits 90Hz OLED/ Win10) - Hàng Chính Hãng,Lenovo,Tiki Trading,32729000,,,v5.1,720p + IR + ToF ,NVIDIA GeForce MX450 2GB GDDR6,,," 1 x USB 3.2 Gen 1 (Always On),  2 x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 1.4),  1 x headphone / microphone combo jack (3.5mm)","Intel Core i7-11370H (3.30GHz up to 4.80GHz, 12MB Cache)",,"IPS 400nits Glossy, 90Hz, 100% sRGB, Dolby Vision, glass OLED",1TB M.2 2280 PCIe 3.0x4 NVMe SSD,,82NH0011VN ,,"4 Cell, 61WHrs",,,1.30 kg,16GB LPDDR4x 4266MHz Onboard,,14 inch,,,802.11ax 2x2 Wi-Fi,Trung Quốc,,Trung Quốc,,,,,,,,,
Laptop Asus Gaming TUF FX706HC-HX003T (i5 11400H/8GB RAM/512GB SSD/17.3 FHD/RTX 3050 4Gb/Win10/Xám)- Hàng chính hãng,Asus,Thế Giới Di Động Official,26690000,DTS Audio,,Bluetooth 5.2,HD webcam,NVIDIA GeForce RTX3050,,,3 x USB 3.2 ;Thunderbolt 4 USB-C;LAN (RJ45);HDMIJack tai nghe 3.5 mm,Intel Core i5 Tiger Lake 11400H,,"Tấm nền IPS , Chống chói Anti Glare , 250 nits",512GB SSD,,FX706HC-HX003T,,"3-cell Li-ion, 48 Wh",,Không,2.6 Kg,8 GB,,,Win 10 bản quyền,,Wi-Fi 6 (802.11ax),Đài Loan,2.70 GHz Tốc độ tối đa Turbo Boost 4.5 GHz,Trung Quốc,LAN (RJ45),DDR4 2 khe (1 khe 8GB + 1 khe rời),Bluetooth 5.2Wi-Fi 6 (802.11ax),,,4G,,,
Laptop LG Gram 2020 17Z90N-V.AH75A5 (Core i7-1065G7/ 8GB/ 512GB NVMe/ 17 WQXGA IPS (2560*1600)/ Win10 Home Plus/ Silver) - Hàng Chính Hãng,LG,Tech IT Store,34490000,HD Audio with DTS:X Ultra,,v5.0,HD Webcam with Dual Mic,Intel Iris Plus Graphics,,1065G7 ,"3x USB 3.1, HDMI, 1x USB 3.1 Gen2 Type-C, Thunderbolt 3 (Power delivery), Finger Print",Intel Core i7,380.6 x 262.6 x 17.4 mm,IPS,"512GB PCIe NVMe M.2 SSD (2 slot, còn trống 1 khe SSD)",,, SSD,80WHr 10.336mAh,,,1.350g,"8GB (1x SO-DIMM socket, up to 16GB SDRAM)",WQXGA (2560 x 1600),17 inch,Windows 10 Home,,"	Intel Wi-Fi 6 AX201D2W",Hàn Quốc,1.30GHz up to 3.90GHz,Trung Quốc,10/100 with RJ45 Gender,DDR4,,,3200MHz ,,,,
Laptop LG Gram 2021 17Z90P-G.AH76A5 (Core i7-1165G7/ 16GB LPDDR4X/ 512GB SSD NVMe/ 17 WQXGA IPS/ Win10) - Hàng Chính Hãng,LG,Tiki Trading,50779000,HD Audio with DTS:X Ultra,,v5.1,HD Webcam with Dual Mic,Intel Iris Xe Graphics,"UFS, Micro SD",,"2x USB 3.2 Gen2, 2x USB Type-C Thunderbolt 4, 1x HDMI",Intel Core i7-1165G7 ,380.2 x 260.1 x 17.8 mm,"IPS, DCI-P3 99%","512GB PCIe NVMe M.2 SSD (2 slot, còn trống 1 khe M.2)",,,SSD,80WHr 10.336mAh,,,1.35kg,16GB (8GBx2),WQXGA (2560 x 1600),17 inch,Windows 10 Home,Tích hợp,Intel Wi-Fi 6 AX201D2W,Hàn Quốc,2.8GHz up to 4.7GHz 12MB,Trung Quốc,10/100 with RJ45 Gender,LPDDR4X,,,4266MHz,,,,
Microsoft Surface Pro 2018 - Core i7-8650U/8G/256GB (KJU-00016) - Hàng Chính Hãng,Microsoft,NewTechShop,38080000,Loa Stereo (Dolby Audio Premium),13.5 giờ sử dụng,V4.1,"Camera sau: 8.0MP autofocus, quay video 1080p HD, Camera trước: 5.0 MP camera trước, Quay video 1080p HD, Công nghệ Windows Hello nhận diện khuôn mặt",Intel UHD Graphics 620,MicroSDXC,8650U,"USB 3.0, 3.5 mm headphone jack, Mini DisplayPort, Surface Connect port, Surface Type Cover port, tương thích với Surface Dial",Intel Core i7,29.21 x 20.142 x 0.85 mm,"267 ppi Touch, IPS",256GB,"Chuẩn WIFI: 802.11 ac
Kết nối không dây: Bluetooth 4.1",KJU-00016,SSD ,Lithium-Polymer,Trung Quốc,Không,775g,8GB,QHD+ (2736 x 1824),12.3 inch,Windows 10 Home,Tích hợp,802.11 a / b / g / n / ac,,1.9GHz Turbo Boost 4.2GHz,,Không,,,,,,,,
"Hyperdrive Gen2 12-In-1 For Macbook, Ipad Pro 2018-2020, PC & Devices (G212)-chính hãng",Hyper,Tiki Trading,3220000,,,,,,,,,,,,,,,,,,,,,,,,,,Mỹ,,Mỹ,,,,,,,,,
"Laptop MSI GF65 Thin 10UE-228VN (Core i7-10750H/ 16GB (8GBx2) DDR4 3200MHz/ 512GB SSD M.2 PCIE/ RTX 3060 6GB GDDR6 Max-Q/ 15.6 FHD IPS, 144Hz/ Win10) - Hàng Chính Hãng",MSI,Thế Giới Di Động Official,31990000,Nahimic Audio,,v5.1,HD webcam,Card rời - NVIDIA GeForce RTX 3060 Max-Q,,," Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, LAN (RJ45), 2 x USB Type-C", Intel Core i7 Comet Lake - 10750H,359 x 254 x 21.7 mm,"LED, Tấm nền IPS",512GB,Wi-Fi 6 (802.11ax),10UE-228VN,"SSD, Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng","3-cell Li-ion, 51 Wh",,,1.86 kg,16GB,Full HD (1920 x 1080),15.6 inch,Windows 10 Home SL,,Wi-Fi 6 (802.11ax),Đài Loan,Turbo Boost 5.0 GHz,Trung Quốc,LAN (RJ45),DDR4 2 khe (1 khe 8GB + 1 khe 8GB),,,,6GB,,, Full HD (1920 x 1080)
Microsoft Surface Pro 7 Model QWW-00001  I7/16Gb/ 256Gb - Kèm bàn phím- Material black-New seal-  Hàng nhập khẩu,Microsoft,,38900000,2 stereo speaker,10.5h, Bluetooth 4.1,"5MP and 1080p HD front- and rear-facing cameras,8.0MP rear-facing autofocus camera with 1080p HD video",VGA:  Intel Iris Plus Graphics,Không,Intel," x Surface Connect, 1 x Cover port, microSDXC, 1 x USB 3.0, 1 x USB 3.1 Type-C", Quad-core 10th Gen Intel Core i7-1065G7 Processor,,12.3” PixelSense 2736 x 1824 (267 PPI) Touch,256,802.11ac Wi-Fi,QWW-00001`,SSD,LITIUM,,Không,0.79 kg,16GB,,,Windows 10 Home bản quyền + Microsoft Office 365 30-day trial (bản dùng thử 30 ngày),,802.11ac Wi-Fi,Mỹ,"1.30Ghz up to 3.90GHz, 8MB Cache)",Trung Quốc,Không,DDR4,Không,,,4gb,,4h, Material black
Laptop Dell Vostro 3500 7G3981 (Core i5-1135G7/ 8GB DDR4 3200MHz/ 256GB SSD M.2 PCIE/ 15.6 FHD/ Win10) - Hàng Chính Hãng,Dell,Tiki Trading,19990000,Realtek ALC3204,,v4.2,HD Webcam,Intel Iris Xe Graphics,SD 3.0 card,Intel Core i5,"2x USB 3.2 Gen 1 Type-A, 1x USB 2.0 Type-A, 1x HDMI, RJ-45",Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,363.96 x 249 x 19.9 mm,Anti-Glare,"256GB SSD M.2 PCIE, 1x slot SATA3 2.5""",,7G3981,,3 Cell 42WHr,,,1.98 kg,"8GB DDR4 3200MHz (2x SO-DIMM socket, up to 16GB SDRAM)",Full HD (1920 x 1080),15.6 inch,,,802.11 AC,Mỹ,2.4GHz up to 4.2GHz,Trung Quốc,10/100/1000 Mbps,DDR4,,,,,,,
"Laptop Asus FX516PE i7 11370H/8GB/512GB/4GB RTX3050Ti/15.6""F/144Hz/Win10/(HN005T)/Xám - Hàng chính hãng",Asus,Thế Giới Di Động Official,29490000,"Stereo speakers, DTS X:Ultra Audio",,Có,Không tích hợp,Card rời - NVIDIA GeForce RTX3050Ti,,,Jack tai nghe 3.5 mm  Thunderbolt 4 USB-C  3 x USB 3.2  HDMI  LAN (RJ45), Intel Core i7 Tiger Lake - 11370H,,Tấm nền IPS  Chống chói Anti Glare  Adaptive-Sync  250 nits  Tần có quét 144 Hz," SSD 512 GB NVMe PCIe, Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng","LAN (RJ45), 
Wi-Fi 6 (802.11ax)",TUF Gaming FX516PE i7,,4-cell Li-ion,,,2 kg,8 GB,,,Windows 10 Home SL,,Có,Đài Loan,3.30 GHz Tốc độ tối đa Turbo Boost 4.8 GHz,Trung Quốc,LAN (RJ45),DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),"Wi-Fi 6 (802.11ax), Bluetooth 5.1",,,4 GB,,76 Wh,
Dầu thủy lực: Triad ISO VG 68 xô 20 lít,OEM,Minh Chung Auto,1289000,,,,,,,,,,,,,,,,,,,,,,,,,,Việt Nam,,Việt Nam,,,,,,,,,
Laptop Dell Inspiron 3501 Core i5-1135G7 / RAM 12GB / SSD 256GB / Full HD / Windows 10 / Nhám - Hàng Nhập Khẩu Mỹ,Dell,Hà Nội Lab,19950000,High-definition audio interface,,Bluetooth,720p HD,Onboard,One SD-card slot,,"USB 3.2 Gen 1 (x2), USB2.0 (x1), HDMI 1.4- SD Media Card Reader (SD, SDHC, SDXC) – RJ45 – 10/100/1000Mbps- 1 combo headphone / microphone jack",10th Generation Intel CoreTM i5-1035G7,,FHD (1920×1080),256GB M.2 PCIe NVMe Solid State Drive,Wifi 802.11ac 1x1 WiFi and Bluetooth,Dell Inspiron 3501,SSD,"3-Cell, 42 WHr, Integrated battery",,None,1.7 kg,"12GB, DDR4, 3200MHz",,,Windows 10 Home 64 bản quyền,Onboard,802.11ac 1x1,Mỹ,up to 3.7 GHz,Mỹ,RJ 45,"DDR4, 3200MHz",802.11ac 1x1 WiFi and Bluetooth,,,,Dell,,Đen Nhám
MẶT DƯỠNG LẮP MÀN HÌNH ANDROID FORD EVEREST  2007-2015 +JAK CẮM ZIN,OEM,Màn hình android oled,349000,,,,,,,,,,,,,,,,,,,,,,,,,,Việt Nam,,Việt Nam,,,,,,,,,
Laptop LG Gram 2021 17ZD90P-G.AX71A5 (Core i7-1165G7/ 16GB LPDDR4X/ 256GB SSD NVMe/ 17 WQXGA IPS/ NonOS) - Hàng Chính Hãng,LG,,43099000,HD Webcam with Dual Mic,,v5.1,HD Webcam with Dual Mic,Intel Iris Xe Graphics,"UFS, Micro SD",,"2x USB 3.2 Gen2, 2x USB Type-C Thunderbolt 4, 1x HDMI",Intel Core i7-1165G7,380.2 x 260.1 x 17.8 mm,"IPS, DCI-P3 99%","256GB PCIe NVMe M.2 SSD (2 slot, còn trống 1 khe M.2)",,,SSD,80WHr 10.336mAh,,,1.35kg,16GB (8GBx2,WQXGA (2560 x 1600),17 inch,FreeDos,Tích hợp,Intel Wi-Fi 6 AX201D2W,Hàn Quốc,2.8GHz up to 4.7GHz 12MB,Trung Quốc,10/100 with RJ45 Gender,LPDDR4X,,,4266MHz,,,,
Bàn phím cho Acer Aspire 4210 4520 4710 5220 5310 5720 5235 6920 Trắng Hàng Mới 100%,OEM,Linh Kiện Máy tính SG,152000,,,,,,,,,,,,,,,,,,,,,,,,,,Việt Nam,,Việt Nam,,,,,,,,,
"Laptop Gigabyte G5 KC-5S11130SH (Core i5-10500H/ 16GB (8x2) DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X4/ RTX 3060 6GB GDDR6/ 15.6 FHD IPS, 144Hz, 3ms/ Win10) - Hàng Chính Hãng",Gigabyte,Tiki Trading,29990000,Nahimic 3,,V5.0 + LE,HD Camera,"NVIDIA GeForce RTX 3060 6GB GDDR6 Boost Clock 1425 MHz, Maximum Graphics Power 105 W",SD Card Reader,,"1x USB 3.2 Gen 2 Type-C Ports Supporting: DisplayPort over USB-C, 1x USB3.2 Gen1 Type-A, 1x USB3.2 Gen2 Type-A, 1x USB2.0 Type-A, 1x HDMI 2.0 (with HDCP), 1x mini DP 1.4, 1x Audio combo jack, 1x Microphone jack, 1x DC-in Jack, 1x RJ-45",Intel Core i5-10500H ,361 x 258 x 27.9 (mm),"IPS, Anti-Glare with 72% NTSC, 100% sRGB, 144Hz, 3ms, 300nits","512GB SSD M.2 PCIE G3X4 (Còn trống 1 khe SSD M.2 PCIE và 1 khe 2.5"" SATA)",,,SSD,Windows 10 Home,,,2.2kg,"16GB (8x2) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)",Full HD (1920 x 1080),,Windows 10 Home,,"Intel AX200 Wireless (802.11ax, a/b/g/n/ac/ax compatible)",Đài Loan,2.5GHz up to 4.5GHz 12MB,Trung Quốc,RTL8411B REALTEK (1G) Ethernet,DDR4,,,3200MHz,,,,
Decal Dán Laptop Cho Macbook Mac - 232,OEM,DECAL SÀI GÒN,115000,,,,,,,,,,,,,,,,,,,,,,,,,,Việt Nam,,Việt Nam,,,,,,,,,
Laptop Dell Gaming G3 15 i7 10750H/16GB/512GB/6GB GTX1660Ti/120Hz/Win10 (P89F002BWH) - Hàng chính hãng,Dell,Thế Giới Di Động Official,31490000, Nahimic 3,, Bluetooth 5.0, HD webcam, Card rời - NVIDIA GeForce GTX 1660Ti,,,"Jack tai nghe 3.5 mm, 1 x USB 3.2, HDMI, Thunderbolt 3, 2 x USB 2.0, Mini DisplayPort", Intel Core i7 Comet Lake - 10750H,, LED/WVA,SSD 512 GB NVMe PCIeHỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,,G3 15,,"4-cell Li-ion, 68 Wh",,,2.58 kg,16 GB,,,Windows 10 Home SL,,Wi-Fi 6 (802.11ax),Mỹ,2.60 GHz Tốc độ tối đa Turbo Boost 5.0 GHz,Trung Quốc,LAN (RJ45),DDR4 2 khe (1 khe 8GB + 1 khe 8GB),Bluetooth 5.0Wi-Fi 6 (802.11ax),,,6GB,,,
Máy tính laptop Surface Book 2 15 Inch Core I7 Ram 16Gb 1Tb (New) - Hàng chính hãng,Surface,SURFACEVIET,60000000,,17h liên tục,,,,,,,,,,,,,,,,,,16GB,,,,,,Mỹ,,Mỹ,,,,,,,,,
Apple MacBook Pro 2020 M1 - 13 Inchs (Apple M1/ 8GB/ 256GB) - Hàng Chính Hãng,Apple,Thế Giới Di Động Official,33490000,"Stereo speakers with high dynamic range, Three microphones, 3.5 mm Headphone jack",Khoảng 10 tiếng,Bluetooth 5.0 wireless technology,720p FaceTime HD camera,The 8-core GPU in M1 chip,,Apple M1,"Two Thunderbolt 3 / USB 4 ports; Support for Charging, DisplayPort, ThunderBolt (up to 40Gbps), USB 3.1 Gen 2 (up to 10 Gbps)","Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",1.56 cm x 30.41 cm x 21.24 cm,"LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3), True Tone technology",256GB SSD,,Pro 2020 M1,SSD,"58.2-watt-hour lithium-polymer, 61W USB-C Power Adapter",,,1.4 kg,8GB unified memory,WQXGA (2560 x 1600),13.3 inch,MacOS,,802.11ax WI-FI 6 wireless networking; IEEE 802.11a/b/g/n/ac compatible; Bluetooth 5.0 wireless technology,Mỹ,,Trung Quốc,,,,,,,,,
Laptop Acer Aspire A315-57G-524Z (NX.HZRSV.009) (i5 1035G1/8GBRAM/512GB SSD/MX330 2G/15.6 inch FHD/ Win 10/Đen)(Hàng Chính Hãng),Acer,Ben Computer,17990000,,,,,,,,,,,,,,,,,,,,,,,,,,Trung Quốc,,Trung Quốc,,,,,,,,,
Cáp Kết Nối Chuân USB 2.0 Qua Chân Simline Sata Của Ổ Đĩa DVD,OEM,Shop Phuthuy,115700,,,,,,,,,,,,,,,,,,,,,,,,,,Việt Nam,,Việt Nam,,,,,,,,,
Mặt dưỡng lắp màn hình Android - Toyota Altis 2017-2018 (9 inch) - JACK ZIN,OEM,Màn hình android oled,399000,,,,,,,,,,,,,,,,,,,,,,,,,,Việt Nam,,Việt Nam,,,,,,,,,
Laptop LG Gram 2020 15ZD90N-V.AX56A5 (Core i5-1035G7/ 8GB/ 512GB NVMe/ 15 FHD IPS/ NonOS/ White) - Hàng Chính Hãng,LG,,28990000,HD Audio with DTS:X Ultra,,v5.0,HD Webcam with Dual Mic,Intel Iris Plus Graphics,"UFS, Micro SD",1035G7,"3x USB 3.1, HDMI, 1x USB 3.1 Gen2 Type-C, Thunderbolt 3 (Power delivery), Finger Print",Intel Core i5,357.6 x 225.3 x 16.8 mm,"IPS, sRGB 96%, 300nits","512GB PCIe NVMe M.2 SSD (2 slot, còn trống 1 khe SSD)",,, SSD,80WHr 10.336mAh,,,1.120 g,"8GB (1x SO-DIMM socket, up to 16GB SDRAM)",Full HD (1920 x 1080),15 inch,Non OS,,Intel Wi-Fi 6 AX201D2W,Hàn Quốc, 1.2GHz up to 3.7GHz 6MB,Trung Quốc,10/100 with RJ45 Gender,DDR4,,,3200MHz ,,,,
