brand,cpu_type,cpu_speed,max_cpu_speed,gpu_type,ram_type,ram,ram_speed,storage,screen_size,resolution,webcam,num_sd_slot,material,os,audio_tech,bluetooth_tech,wifi_tech,weight,thickness,width,length,released,ppi,has_lightning,has_thundebolt,has_touchscreen,has_fingerprint,has_camera_lock,has_180_degree,has_face_id,has_antiglare,new_warranty,used_warranty,used_price
Acer,i5,1.8-2.5,3.5-4.2,Intel,LPDDR4X,16.0,4266.0,512 GB,Others,> Full HD,HD,0,Kim loại,Windows,DTS,5.1,Wi-Fi 6,1.19,15.95,233.88,302.5,2020.0,200.84255993695703,1,1,0,1,0,0,0,0,12,7.0,18620000.0
Acer,i5,1.8-2.5,3.5-4.2,Intel,LPDDR4X,16.0,4266.0,512 GB,14.0,Full HD,HD,0,Kim loại,Windows,DTS,5.1,Wi-Fi 6,1.19,15.9,212.2,322.8,2021.0,157.3505121487356,1,1,0,1,0,0,0,0,12,8.5,16870000.0
Acer,i5,<1.8,<3.5,Intel,DDR4,4.0,2400.0,HDD 1 TB,14.0,Full HD,VGA,3,Kim loại,Windows,TrueHarmony,4.0,Wi-Fi 5,1.5,18.7,,,2018.0,157.3505121487356,1,0,0,1,0,0,0,0,12,3.0,12020000.0
Acer,i5,<1.8,3.5-4.2,Intel,DDR4,4.0,2133.0,256 GB,14.0,Full HD,HD,1,Kim loại,Windows,TrueHarmony,5.0,Wi-Fi 5,1.5,17.95,228.0,323.0,2018.0,157.3505121487356,1,0,0,1,0,0,0,0,12,3.0,13280000.0
Acer,i5,<1.8,3.5-4.2,Intel,DDR4,8.0,2666.0,512 GB,14.0,Full HD,HD,0,Kim loại,Windows,TrueHarmony,5.0,Wi-Fi 6,1.19,15.95,217.0,319.5,2019.0,157.3505121487356,1,0,0,1,0,0,0,0,12,3.0,14010000.0
Acer,i5,<1.8,<3.5,Intel,DDR4,4.0,2400.0,HDD 1 TB,15.6,Full HD,HD,1,Kim loại,Windows,Stereo,4.2,Wi-Fi 5,1.7,18.9,255.0,370.0,2019.0,141.21199808219862,1,0,0,1,0,0,0,0,12,4.5,13000000.0
Acer,i3,1.8-2.5,<3.5,Intel,DDR4,4.0,2400.0,HDD 1 TB,15.6,Full HD,HD,1,Kim loại,Windows,TrueHarmony,4.0,Wi-Fi 5,1.7,16.9,243.0,359.0,2018.0,141.21199808219862,1,0,0,1,0,0,0,0,12,3.5,9770000.0
Acer,i5,<1.8,<3.5,Intel,DDR4,8.0,2133.0,256 GB,15.6,Full HD,HD,1,Kim loại,Windows,TrueHarmony,4.2,Wi-Fi 5,1.7,16.9,243.0,359.0,2018.0,141.21199808219862,1,0,0,1,0,0,0,0,12,6.0,13050000.0
Acer,i5,<1.8,3.5-4.2,NVIDIA MX,DDR4,8.0,2666.0,512 GB,14.0,Full HD,HD,0,Kim loại,Windows,TrueHarmony,5.0,Wi-Fi 6,1.19,15.95,217.0,319.5,2019.0,157.3505121487356,1,1,0,1,0,0,0,0,12,3.0,14750000.0
Acer,i7,1.8-2.5,3.5-4.2,Intel,DDR3,8.0,2133.0,256 GB,14.0,Full HD,HD,0,Kim loại,Windows,TrueHarmony,,,0.94,14.9,228.0,329.0,2018.0,157.3505121487356,1,0,1,1,0,0,0,0,12,3.0,19770000.0
Acer,i5,<1.8,3.5-4.2,Intel,DDR4,8.0,2400.0,256 GB,14.0,Full HD,HD,0,Kim loại,Windows,Dolby,5.0,Wi-Fi 5,0.97,14.9,228.0,329.0,2018.0,157.3505121487356,1,0,1,1,0,0,0,0,12,3.0,17000000.0
Acer,i7,1.8-2.5,>4.2,Intel,DDR4,8.0,2133.0,256 GB,14.0,Full HD,HD,0,Kim loại,Windows,Dolby,5.0,Wi-Fi 5,0.94,14.9,228.0,329.0,2018.0,157.3505121487356,1,0,1,1,0,0,0,0,12,3.0,19620000.0
Acer,i7,1.8-2.5,>4.2,Intel,DDR4,8.0,2400.0,256 GB,14.0,Full HD,HD,0,Kim loại,Windows,TrueHarmony,5.0,Wi-Fi 5,0.94,14.9,228.0,329.0,2018.0,157.3505121487356,1,0,1,1,0,0,0,0,12,3.0,20660000.0
Acer,i7,<1.8,3.5-4.2,Intel,DDR3,16.0,1866.0,512 GB,14.0,Full HD,HD,0,Kim loại,Windows,TrueHarmony,5.0,Wi-Fi 5,0.89,9.95,191.5,317.9,2019.0,157.3505121487356,1,1,1,1,0,0,0,0,12,3.0,36890000.0
Acer,i3,1.8-2.5,<3.5,Intel,DDR4,4.0,2133.0,HDD 1 TB,14.0,Full HD,HD,1,Kim loại,Windows,TrueHarmony,4.0,Wi-Fi 5,1.5,18.7,228.0,323.0,,157.3505121487356,1,0,0,1,0,0,0,0,12,3.0,9760000.0
Acer,i3,>2.5,<3.5,Intel,DDR3L,4.0,2133.0,128 GB,Others,> Full HD,HD,1,Kim loại,Windows,Stereo,4.0,Wi-Fi 5,0.92,9.6,201.8,292.9,2019.0,216.33307652783927,1,0,1,1,0,0,0,0,12,3.0,16600000.0
Apple,i5,1.8-2.5,<3.5,Intel,DDR3L,8.0,1600.0,128 GB,13.3,< Full HD,VGA,1,Kim loại,MacOS,Other,4.0,Wi-Fi 5,1.35,17.0,,,2017.0,127.67794013309688,1,1,0,0,0,0,0,0,12,3.0,16370000.0
Apple,i3,<1.8,<3.5,Intel,LPDDR4X,8.0,3733.0,256 GB,13.3,> Full HD,HD,0,Kim loại,MacOS,Other,5.0,Wi-Fi 5,1.29,16.1,212.4,304.1,2020.0,226.98300468106115,1,1,0,1,0,0,0,0,12,3.0,23740000.0
Apple,i3,<1.8,<3.5,Intel,LPDDR4X,8.0,3733.0,256 GB,13.3,> Full HD,HD,0,Kim loại,MacOS,Other,5.0,Wi-Fi 5,1.29,16.1,212.4,304.1,2020.0,226.98300468106115,1,1,0,1,0,0,0,0,12,3.0,23030000.0
Apple,i5,<1.8,3.5-4.2,Intel,LPDDR4X,8.0,3733.0,256 GB,13.3,> Full HD,HD,0,Kim loại,MacOS,Other,5.0,Wi-Fi 5,1.29,16.1,212.4,304.1,2020.0,226.98300468106115,1,1,0,1,0,0,0,0,12,3.0,25150000.0
Apple,M1,,,Intel,,16.0,,256 GB,13.3,> Full HD,HD,0,Kim loại,MacOS,Other,5.0,Wi-Fi 6,1.29,16.1,212.4,304.1,2020.0,226.98300468106115,1,1,0,1,0,0,0,0,12,7.0,29060000.0
Apple,M1,,,Intel,,16.0,,512 GB,13.3,> Full HD,HD,0,Kim loại,MacOS,Other,5.0,Wi-Fi 6,1.29,16.1,212.4,304.1,2020.0,226.98300468106115,1,1,0,1,0,0,0,0,12,9.5,34650000.0
Apple,M1,,,Intel,,8.0,,256 GB,13.3,> Full HD,HD,0,Kim loại,MacOS,Other,5.0,Wi-Fi 6,1.29,16.1,212.4,304.1,2020.0,226.98300468106115,1,1,0,1,0,0,0,0,12,3.0,23740000.0
Apple,M1,,,Intel,,8.0,,512 GB,13.3,> Full HD,HD,0,Kim loại,MacOS,Other,5.0,Wi-Fi 6,1.29,16.1,212.4,304.1,2020.0,226.98300468106115,1,1,0,1,0,0,0,0,12,5.5,29440000.0
Apple,M1,,,Intel,,16.0,,1 TB,13.3,> Full HD,HD,0,Kim loại,MacOS,Dolby,5.0,Wi-Fi 6,1.4,15.6,212.4,304.1,2020.0,226.98300468106115,1,1,0,1,0,0,0,0,12,6.0,43930000.0
Apple,M1,,,Intel,,16.0,,512 GB,13.3,> Full HD,HD,0,Kim loại,MacOS,Dolby,5.0,Wi-Fi 6,1.4,15.6,212.4,304.1,2020.0,226.98300468106115,1,1,0,1,0,0,0,0,12,3.5,37050000.0
Apple,M1,,,Intel,,8.0,,256 GB,13.3,> Full HD,HD,0,Kim loại,MacOS,Dolby,5.0,Wi-Fi 6,1.4,15.6,212.4,304.1,2020.0,226.98300468106115,1,1,0,1,0,0,0,0,12,3.0,28660000.0
Apple,M1,,,Intel,,8.0,,512 GB,13.3,> Full HD,HD,0,Kim loại,MacOS,Dolby,5.0,Wi-Fi 6,1.4,15.6,212.4,304.1,2020.0,226.98300468106115,1,1,0,1,0,0,0,0,12,3.0,32750000.0
Apple,M1,,,Intel,,16.0,,256 GB,13.3,> Full HD,HD,0,Kim loại,MacOS,Dolby,5.0,Wi-Fi 6,1.4,15.6,212.4,304.1,2020.0,226.98300468106115,1,1,0,1,0,0,0,0,12,7.0,33170000.0
Apple,i5,<1.8,<3.5,Intel,LPDDR3,8.0,2133.0,256 GB,13.3,> Full HD,HD,0,Kim loại,MacOS,Dolby,5.0,Wi-Fi 5,1.4,15.6,212.4,304.1,2020.0,226.98300468106115,1,1,0,1,0,0,0,0,12,3.0,28660000.0
Apple,i5,<1.8,<3.5,Intel,DDR3L,4.0,1600.0,,13.3,< Full HD,HD,1,Kim loại,MacOS,Other,4.0,Wi-Fi 5,1.35,,,,2015.0,127.67794013309688,1,1,0,0,0,0,0,0,12,6.0,19450000.0
Apple,i5,<1.8,3.5-4.2,Intel,LPDDR4X,8.0,3733.0,256 GB,13.3,> Full HD,HD,0,Kim loại,MacOS,Other,5.0,Wi-Fi 5,1.29,16.1,212.4,304.1,2020.0,226.98300468106115,1,1,0,1,0,0,0,0,12,3.0,26200000.0
Apple,,<1.8,<3.5,Intel,DDR3L,4.0,1600.0,,Others,< Full HD,HD,0,Kim loại,MacOS,Other,4.0,Wi-Fi 5,1.08,17.0,192.0,300.0,,135.0942111925629,1,1,0,0,0,0,0,0,12,6.0,18230000.0
Apple,i5,<1.8,<3.5,Intel,DDR3L,8.0,1600.0,128 GB,13.3,< Full HD,HD,1,Kim loại,MacOS,Other,4.0,Wi-Fi 5,1.35,17.0,,,2015.0,127.67794013309688,1,1,0,0,0,0,0,0,12,3.0,18420000.0
Apple,i7,>2.5,>4.2,Radeon,DDR4,16.0,2400.0,256 GB,Others,> Full HD,HD,0,Kim loại,MacOS,Stereo,5.0,Wi-Fi 5,1.83,15.5,240.7,349.3,2019.0,220.53462386625827,1,1,0,1,0,0,0,0,12,5.0,48120000.0
Apple,i5,1.8-2.5,3.5-4.2,Intel,DDR3,8.0,2133.0,128 GB,13.3,> Full HD,HD,0,Kim loại,MacOS,Other,4.2,Wi-Fi 5,1.37,14.9,,,2017.0,226.98300468106115,1,1,0,0,0,0,0,0,12,6.0,28760000.0
Apple,i5,>2.5,<3.5,Intel,DDR4,8.0,2133.0,256 GB,13.3,> Full HD,HD,0,Kim loại,MacOS,Other,4.2,Wi-Fi 5,1.37,14.9,212.4,304.1,2016.0,226.98300468106115,1,1,0,0,0,0,0,0,12,6.0,37220000.0
Apple,i5,>2.5,3.5-4.2,Intel,DDR3,8.0,2133.0,256 GB,13.3,> Full HD,HD,0,Kim loại,MacOS,Other,4.2,Wi-Fi 5,1.37,14.9,,,2017.0,226.98300468106115,1,1,0,0,0,0,0,0,12,6.0,36370000.0
Asus,i5,<1.8,3.5-4.2,Intel,LPDDR3,8.0,2133.0,512 GB,14.0,Full HD,HD,0,Kim loại,Windows,Harman,5.0,Wi-Fi 6,0.995,14.9,203.0,320.0,2020.0,157.3505121487356,1,1,0,1,0,0,1,0,24,12.0,30090000.0
Asus,i7,>2.5,>4.2,NVIDIA RTX,DDR4,8.0,2666.0,512 GB,15.6,Full HD,,0,Kim loại,Windows,Smart AMP,5.0,Wi-Fi 5,2.4,26.0,275.0,360.0,2019.0,141.21199808219862,1,0,0,0,0,0,0,1,24,6.5,28950000.0
Asus,i7,>2.5,>4.2,NVIDIA GTX,DDR4,8.0,2666.0,512 GB,15.6,Full HD,,0,Nhựa,Windows,Smart AMP,5.0,Wi-Fi 5,2.4,26.0,275.0,360.0,2019.0,141.21199808219862,1,0,0,0,0,0,0,1,24,6.5,20370000.0
Asus,i5,1.8-2.5,>4.2,NVIDIA GTX,DDR4,8.0,2933.0,512 GB,15.6,Full HD,,0,Nhựa,Windows,Smart AMP,5.1,Wi-Fi 6,2.3,25.8,275.0,360.0,2020.0,141.21199808219862,1,0,0,0,0,0,0,0,24,17.0,20500000.0
