brand,cpu_type,cpu_speed,max_cpu_speed,num_core,num_thread,cached_cpu,gpu_type,ram_type,ram,max_ram,ram_speed,storage,screen_size,resolution,scan_frequency,webcam,sd_slot,material,battery,os,audio_tech,bluetooth_tech,wifi_tech,weight,thickness,width,length,released,has_lightning,has_thundebolt,has_touchscreen,has_fingerprint,has_camera_lock,has_180_degree,has_face_id,has_antiglare,saved_percent,saved_money,new_warranty,used_warranty,new_price,used_price,ppi
Acer,i5,1.6,3.9,4.0,8.0,6.0,Intel,DDR4,8.0,32.0,2133.0,256.0,13.3,1920 x 1080,,HD,SD,Kim loại,,Windows,TrueHarmony,4.0,Wi-Fi 5,1.35,15.9,214.0,308.8,2019.0,1,0,,1,0,0,0,0,13.0,,12,3.0,,17700000.0,165.6321180513006
Acer,i5,2.4,4.2,4.0,8.0,8.0,Intel,LPDDR4X,16.0,,4266.0,512.0,13.5,2256 x 1504,,HD,,Kim loại,56,Windows,DTS,5.1,Wi-Fi 6,1.19,15.95,233.88,302.5,2020.0,1,1,,1,0,0,0,0,19.0,4370000.0,12,7.0,22990000.0,18620000.0,200.84255993695703
Acer,i5,2.4,4.2,4.0,8.0,8.0,Intel,LPDDR4X,16.0,,4266.0,512.0,14.0,1920 x 1080,60.0,HD,,Kim loại,48,Windows,DTS,5.1,Wi-Fi 6,1.19,15.9,212.2,322.8,2021.0,1,1,,1,0,0,0,0,19.0,4120000.0,12,8.5,20990000.0,16870000.0,157.3505121487356
Acer,i5,1.6,3.4,,,,Intel,DDR4,4.0,8.0,2400.0,1024.0,14.0,1920 x 1080,,VGA,"SD
SDHC
SDXC",Kim loại,,Windows,TrueHarmony,4.0,Wi-Fi 5,1.5,18.7,,,2018.0,1,0,,1,0,0,0,0,23.0,,12,3.0,,12020000.0,157.3505121487356
Acer,i5,1.6,3.9,,,,Intel,DDR4,4.0,12.0,2133.0,256.0,14.0,1920 x 1080,,HD,SD,Kim loại,,Windows,TrueHarmony,5.0,Wi-Fi 5,1.5,17.95,228.0,323.0,2018.0,1,0,,1,0,0,0,0,,,12,3.0,,13280000.0,157.3505121487356
Acer,i5,1.0,3.6,,,,Intel,DDR4,8.0,,2666.0,512.0,14.0,1920 x 1080,,HD,,Hợp kim,,Windows,TrueHarmony,5.0,Wi-Fi 6,1.19,15.95,217.0,319.5,2019.0,1,0,,1,0,0,0,0,,,12,3.0,,14010000.0,157.3505121487356
Acer,i5,1.6,3.4,,,,Intel,DDR4,4.0,,2400.0,1024.0,15.6,1920 x 1080,,HD,SD,Kim loại,80,Windows,Stereo,4.2,Wi-Fi 5,1.7,18.9,255.0,370.0,2019.0,1,0,,1,0,0,0,0,,,12,4.5,,13000000.0,141.21199808219862
Acer,i3,2.2,3.4,,,,Intel,DDR4,4.0,32.0,2400.0,1024.0,15.6,1920 x 1080,,HD,SD,Kim loại,80,Windows,TrueHarmony,4.0,Wi-Fi 5,1.7,16.9,243.0,359.0,2018.0,1,0,,1,0,0,0,0,,,12,3.5,,9770000.0,141.21199808219862
Acer,i5,1.6,3.4,,,,Intel,DDR4,8.0,24.0,2133.0,256.0,15.6,1920 x 1080,,HD,SD,Kim loại,80,Windows,TrueHarmony,4.2,Wi-Fi 5,1.7,16.9,243.0,359.0,2018.0,1,0,,1,0,0,0,0,,,12,6.0,,13050000.0,141.21199808219862
Acer,i5,1.0,3.6,,,,NVIDIA MX,DDR4,8.0,,2666.0,512.0,14.0,1920 x 1080,,HD,,Hợp kim,,Windows,TrueHarmony,5.0,Wi-Fi 6,1.19,15.95,217.0,319.5,2019.0,1,1,,1,0,0,0,0,,,12,3.0,,14750000.0,157.3505121487356
Acer,i7,1.8,4.0,,,,Intel,DDR3,8.0,,2133.0,256.0,14.0,1920 x 1080,,HD,,Hợp kim,,Windows,TrueHarmony,,,0.94,14.9,228.0,329.0,2018.0,1,0,Có,1,0,0,0,0,,,12,3.0,,19770000.0,157.3505121487356
Acer,i5,1.6,3.9,4.0,8.0,6.0,Intel,DDR4,8.0,,2400.0,256.0,14.0,1920 x 1080,,HD,,Hợp kim,,Windows,Dolby,5.0,Wi-Fi 5,0.97,14.9,228.0,329.0,2018.0,1,0,Có,1,0,0,0,0,29.0,6990000.0,12,3.0,23990000.0,17000000.0,157.3505121487356
Acer,i7,1.8,4.6,4.0,8.0,8.0,Intel,DDR4,8.0,,2133.0,256.0,14.0,1920 x 1080,,HD,,Hợp kim,,Windows,Dolby,5.0,Wi-Fi 5,0.94,14.9,228.0,329.0,2018.0,1,0,Có,1,0,0,0,0,29.0,8370000.0,12,3.0,27990000.0,19620000.0,157.3505121487356
Acer,i7,1.8,4.6,,,,Intel,DDR4,8.0,,2400.0,256.0,14.0,1920 x 1080,,HD,,Hợp kim,,Windows,TrueHarmony,5.0,Wi-Fi 5,0.94,14.9,228.0,329.0,2018.0,1,0,Có,1,0,0,0,0,20.0,,12,3.0,,20660000.0,157.3505121487356
Acer,i7,1.5,4.2,,,,Intel,DDR3,16.0,,1866.0,512.0,14.0,1920 x 1080,,HD,,Hợp kim,,Windows,TrueHarmony,5.0,Wi-Fi 5,0.89,9.95,191.5,317.9,2019.0,1,1,Có,1,0,0,0,0,,,12,3.0,,36890000.0,157.3505121487356
